pl_name,pl_rade,pl_radj,pl_bmasse,pl_orbsmax,pl_orbper,discoverymethod,disc_year
"Kepler-1513 b",8.59400000,0.76670665,48.30991786,,160.88420000000,"Transit",2016
"TOI-4914 b",12.87000000,1.14818647,227.00000000,0.0980000000,10.60057000000,"Transit",2024
"TOI-237 c",1.20600000,0.10759230,,0.0160000000,1.74486147000,"Transit",2026
"TOI-1898 b",9.39553231,0.83821469,129.00000000,0.2690000000,45.52234000000,"Transit",2024
"HD 330075 b",,,152.55840000,0.0400000000,3.38773000000,"Radial Velocity",2004
"KOI-351 f",2.88000000,0.25700000,,0.4800000000,124.91440000000,"Transit",2013
"Kepler-1812 b",2.32494240,0.20741783,,,7.16521978400,"Transit",2021
"KMT-2017-BLG-0428L b",,,5.59000000,1.8100000000,,"Microlensing",2023
"Kepler-516 b",5.74000000,0.51208850,,,24.85462415000,"Transit",2016
"Kepler-1685 b",2.57673985,0.22988133,,,20.49050000000,"Transit",2020
"Kepler-299 e",1.87000000,0.16700000,,0.2200000000,38.28548900000,"Transit",2014
"TOI-1749 b",1.39000000,0.12400771,57.00000000,0.0291000000,2.38839000000,"Transit",2021
"Kepler-406 b",1.43000000,0.12760000,6.35000000,,2.42629000000,"Transit",2014
"OGLE-2016-BLG-1190L b",,,4253.00000000,2.1700000000,1220.00000000000,"Microlensing",2017
"Kepler-1215 b",1.22000000,0.10884111,,,4.76703963000,"Transit",2016
"Kepler-82 c",5.34000000,0.47640289,13.90000000,0.2626000000,51.54000000000,"Transit",2012
"Kepler-434 b",12.67000000,1.13000000,908.96000000,0.1143000000,12.87470990000,"Transit",2015
"Kepler-1998 b",0.60000000,0.05352851,,0.0405000000,3.03267135000,"Transit",2023
"Kepler-189 b",1.21000000,0.10800000,,0.0880000000,10.39993100000,"Transit",2014
"HD 3765 b",,,54.98431441,2.1080000000,1211.00000000000,"Radial Velocity",2021
"Kepler-400 c",1.49000000,0.13300000,,0.1340000000,17.34082400000,"Transit",2014
"Kepler-852 b",2.54000000,0.22660362,,,44.93098040000,"Transit",2016
"Kepler-444 e",0.54600000,0.04900000,,0.0696000000,7.74349300000,"Transit",2015
"WASP-89 b",11.65736000,1.04000000,1875.19700000,0.0427000000,3.35642270000,"Transit",2015
"K2-415 b",1.01500000,0.09055239,7.50000000,0.0270000000,4.01796940000,"Transit",2023
"Kepler-328 c",5.40000000,0.48200000,39.40000000,,71.31200000000,"Transit",2013
"HATS-13 b",13.58530800,1.21200000,172.58169000,0.0405700000,3.04404990000,"Transit",2015
"Kepler-476 b",3.08000000,0.27477920,,,14.00640607000,"Transit",2016
"HIP 94235 b",3.00000000,0.26764253,379.00000000,0.0787000000,7.71305700000,"Transit",2022
"Kepler-763 d",1.67000000,0.14898768,,0.0634000000,6.50327035000,"Transit",2023
"Kepler-134 c",1.26000000,0.11200000,,0.0920000000,10.10578500000,"Transit",2014
"HD 136352 c",2.91600000,0.26014854,11.24000000,0.1721000000,27.59221000000,"Radial Velocity",2019
"Kepler-359 b",3.53000000,0.31500000,,0.1780000000,25.56322200000,"Transit",2014
"Kepler-777 b",1.47000000,0.13114462,,,5.72812599000,"Transit",2016
"Kepler-1923 b",1.95958179,0.17482248,,,52.60969925000,"Transit",2021
"Kepler-836 b",2.73000000,0.24355429,,,11.36112327000,"Transit",2016
"Kepler-48 c",2.71000000,0.24177001,14.61000000,,9.67395000000,"Transit",2012
"Kepler-521 b",3.18000000,0.28370060,,,22.20813214000,"Transit",2016
"CWISEP J193518.59-154620.3 b",,,4926.34030850,2.4800000000,,"Imaging",2025
"Kepler-726 b",3.26000000,0.29083772,,,21.80451088000,"Transit",2016
"Kepler-1461 b",2.03000000,0.18110447,,,29.34947750000,"Transit",2016
"Kepler-1471 b",1.41000000,0.12579177,,,3.63899398000,"Transit",2016
"HD 212301 b",,,162.09330000,0.0300000000,2.24571000000,"Radial Velocity",2005
"GQ Lup b",33.60000000,3.00000000,6356.00000000,100.0000000000,,"Imaging",2004
"KMT-2019-BLG-1339L b",,,397.00000000,2.1500000000,,"Microlensing",2020
"HD 159243 c",,,603.90000000,0.8000000000,248.40000000000,"Radial Velocity",2013
"EPIC 205950854 c",1.31000000,0.11687037,,,8.05072200000,"Transit",2019
"KMT-2022-BLG-2076L b",,,279.68899816,5.6700000000,,"Microlensing",2025
"K2-162 b",1.44000000,0.12846820,,0.0795000000,9.45889000000,"Transit",2018
"Kepler-1320 b",1.70000000,0.15166384,,,0.86838652800,"Transit",2016
"K2-80 b",2.01000000,0.17932019,,0.1350000000,19.09180000000,"Transit",2016
"Kepler-24 b",2.34800000,0.20947489,11.14000000,,8.14000000000,"Transit",2011
"HAT-P-56 b",16.92559000,1.51000000,734.18730000,,2.79083000000,"Transit",2015
"Kepler-1701 b",2.22186207,0.19822126,,,169.13400000000,"Transit",2020
"WASP-195 b",10.31226224,0.92000000,33.05415433,0.0630000000,5.05192800000,"Transit",2025
"Kepler-93 c",,,954.00000000,,1460.00000000000,"Radial Velocity",2014
"HD 117207 b",,,612.14058000,3.7870000000,2621.75000000000,"Radial Velocity",2004
"Kepler-1530 d",3.27870115,0.29250663,,,9.20761013000,"Transit",2021
"TOI-1728 b",5.05000000,0.45053082,26.78000000,0.0391000000,3.49151000000,"Transit",2020
"Kepler-610 b",4.19000000,0.37380676,,,6.99692655400,"Transit",2016
"HD 188641 b",,,9333.03117155,12.0270000000,14583.81038000000,"Radial Velocity",2022
"HD 221287 b",,,982.05000000,1.2500000000,456.10000000000,"Radial Velocity",2007
"K2-147 b",1.47286006,0.13140000,,0.0157500000,0.96193900000,"Transit",2018
"TOI-251 b",2.74000000,0.24444643,317.83000000,0.0574100000,4.93777000000,"Transit",2021
"HD 30562 b",,,387.75260000,2.3400000000,1157.00000000000,"Radial Velocity",2009
"Kepler-1047 c",0.99000000,0.08832188,,,3.18897601000,"Transit",2016
"HD 102329 c",,,483.10160000,,1123.00000000000,"Radial Velocity",2016
